idx,start_sample,end_sample,out_wav,top1_label,top1_prob,top5
0,110784,114144,artifacts/isolated_snippets/snippet_0.wav,j,0.1893586665391922,"[(26, 'j', 0.1893586665391922), (0, '1', 0.09308917075395584), (16, 'u', 0.07200232148170471), (7, '8', 0.06967541575431824), (27, 'k', 0.06608313322067261)]"
1,149088,152448,artifacts/isolated_snippets/snippet_1.wav,j,0.07796158641576767,"[(26, 'j', 0.07796158641576767), (10, 'q', 0.0770145058631897), (28, 'l', 0.06469258666038513), (35, 'm', 0.06165331229567528), (7, '8', 0.057777438312768936)]"
2,185088,188448,artifacts/isolated_snippets/snippet_2.wav,8,0.10264769941568375,"[(7, '8', 0.10264769941568375), (26, 'j', 0.0683910995721817), (10, 'q', 0.06228429451584816), (6, '7', 0.06202090159058571), (19, 'p', 0.060030125081539154)]"
3,188256,191616,artifacts/isolated_snippets/snippet_3.wav,p,0.13931691646575928,"[(19, 'p', 0.13931691646575928), (7, '8', 0.12017995119094849), (16, 'u', 0.09478235244750977), (10, 'q', 0.0673082172870636), (26, 'j', 0.06513743102550507)]"
4,223680,227040,artifacts/isolated_snippets/snippet_4.wav,8,0.08284609019756317,"[(7, '8', 0.08284609019756317), (33, 'b', 0.06556441634893417), (28, 'l', 0.059346240013837814), (9, '0', 0.05689532682299614), (27, 'k', 0.05676918476819992)]"
5,264288,267648,artifacts/isolated_snippets/snippet_5.wav,8,0.17472922801971436,"[(7, '8', 0.17472922801971436), (0, '1', 0.11782004684209824), (20, 'a', 0.06507212668657303), (9, '0', 0.06403642892837524), (8, '9', 0.05609717592597008)]"
6,307200,310560,artifacts/isolated_snippets/snippet_6.wav,8,0.11032586544752121,"[(7, '8', 0.11032586544752121), (27, 'k', 0.07449310272932053), (8, '9', 0.07099932432174683), (26, 'j', 0.06801381707191467), (31, 'c', 0.06186571717262268)]"
7,310944,314304,artifacts/isolated_snippets/snippet_7.wav,1,0.2912917137145996,"[(0, '1', 0.2912917137145996), (26, 'j', 0.0695427656173706), (19, 'p', 0.05878521129488945), (10, 'q', 0.05817984789609909), (20, 'a', 0.0454922579228878)]"
8,350112,353472,artifacts/isolated_snippets/snippet_8.wav,1,0.09596642851829529,"[(0, '1', 0.09596642851829529), (8, '9', 0.09060682356357574), (7, '8', 0.07940956205129623), (19, 'p', 0.07664364576339722), (10, 'q', 0.07213756442070007)]"
9,388128,391488,artifacts/isolated_snippets/snippet_9.wav,8,0.16851499676704407,"[(7, '8', 0.16851499676704407), (19, 'p', 0.11009825021028519), (16, 'u', 0.07346057146787643), (8, '9', 0.06484702229499817), (9, '0', 0.05785944685339928)]"
10,429600,432960,artifacts/isolated_snippets/snippet_10.wav,8,0.092970110476017,"[(7, '8', 0.092970110476017), (8, '9', 0.06795474886894226), (0, '1', 0.06756660342216492), (9, '0', 0.059766530990600586), (31, 'c', 0.055047523230314255)]"
11,471072,474432,artifacts/isolated_snippets/snippet_11.wav,8,0.08520353585481644,"[(7, '8', 0.08520353585481644), (8, '9', 0.08006924390792847), (26, 'j', 0.06493483483791351), (9, '0', 0.060515761375427246), (28, 'l', 0.05415389686822891)]"
12,512544,515904,artifacts/isolated_snippets/snippet_12.wav,j,0.1325615495443344,"[(26, 'j', 0.1325615495443344), (0, '1', 0.0923851802945137), (7, '8', 0.06896854192018509), (16, 'u', 0.05567602068185806), (35, 'm', 0.04968823492527008)]"
