idx,start_sample,end_sample,out_wav,top1_label,top1_prob,top5
13,553728,557088,artifacts/isolated_snippets/snippet_13.wav,p,0.1684994101524353,"[(19, 'p', 0.1684994101524353), (7, '8', 0.1269807517528534), (34, 'n', 0.06064533814787865), (10, 'q', 0.055737756192684174), (18, 'o', 0.05004303157329559)]"
14,593472,596832,artifacts/isolated_snippets/snippet_14.wav,8,0.1344035118818283,"[(7, '8', 0.1344035118818283), (19, 'p', 0.08674536645412445), (5, '6', 0.060721904039382935), (16, 'u', 0.060049958527088165), (8, '9', 0.05054516717791557)]"
15,634080,637440,artifacts/isolated_snippets/snippet_15.wav,8,0.11301590502262115,"[(7, '8', 0.11301590502262115), (18, 'o', 0.10757534950971603), (0, '1', 0.09267936646938324), (26, 'j', 0.08196219801902771), (19, 'p', 0.07109633088111877)]"
16,676704,680064,artifacts/isolated_snippets/snippet_16.wav,8,0.08536931872367859,"[(7, '8', 0.08536931872367859), (33, 'b', 0.0763561800122261), (16, 'u', 0.07445888966321945), (9, '0', 0.05476577207446098), (0, '1', 0.05342285707592964)]"
17,678144,681504,artifacts/isolated_snippets/snippet_17.wav,j,0.11786026507616043,"[(26, 'j', 0.11786026507616043), (5, '6', 0.07022695988416672), (7, '8', 0.06867436319589615), (6, '7', 0.0682571530342102), (10, 'q', 0.06794410943984985)]"
18,680448,683808,artifacts/isolated_snippets/snippet_18.wav,p,0.15633700788021088,"[(19, 'p', 0.15633700788021088), (16, 'u', 0.10233820229768753), (26, 'j', 0.0889209732413292), (10, 'q', 0.07848285138607025), (7, '8', 0.07044028490781784)]"
19,717312,720672,artifacts/isolated_snippets/snippet_19.wav,8,0.1355191171169281,"[(7, '8', 0.1355191171169281), (33, 'b', 0.07423198968172073), (8, '9', 0.0642758309841156), (26, 'j', 0.05831195414066315), (19, 'p', 0.05433514714241028)]"
20,761664,765024,artifacts/isolated_snippets/snippet_20.wav,8,0.19312268495559692,"[(7, '8', 0.19312268495559692), (31, 'c', 0.08576241880655289), (26, 'j', 0.07385902851819992), (8, '9', 0.0569949597120285), (0, '1', 0.05148861184716225)]"
21,801696,805056,artifacts/isolated_snippets/snippet_21.wav,p,0.15627573430538177,"[(19, 'p', 0.15627573430538177), (7, '8', 0.09751159697771072), (18, 'o', 0.09025868773460388), (16, 'u', 0.07879860699176788), (26, 'j', 0.06839978694915771)]"
22,842304,845664,artifacts/isolated_snippets/snippet_22.wav,p,0.11757325381040573,"[(19, 'p', 0.11757325381040573), (16, 'u', 0.11376369744539261), (7, '8', 0.08493589609861374), (18, 'o', 0.07510252296924591), (33, 'b', 0.07220585644245148)]"
23,883200,886560,artifacts/isolated_snippets/snippet_23.wav,8,0.15771609544754028,"[(7, '8', 0.15771609544754028), (19, 'p', 0.11077394336462021), (16, 'u', 0.07365381717681885), (9, '0', 0.07065530121326447), (26, 'j', 0.06852659583091736)]"
24,925248,928608,artifacts/isolated_snippets/snippet_24.wav,8,0.08571777492761612,"[(7, '8', 0.08571777492761612), (26, 'j', 0.08097280561923981), (19, 'p', 0.06551007181406021), (10, 'q', 0.05930591747164726), (28, 'l', 0.04778944328427315)]"
25,926976,930336,artifacts/isolated_snippets/snippet_25.wav,5,0.17051325738430023,"[(4, '5', 0.17051325738430023), (10, 'q', 0.10027381777763367), (26, 'j', 0.08219750225543976), (5, '6', 0.08084578812122345), (7, '8', 0.06673862785100937)]"
26,964992,968352,artifacts/isolated_snippets/snippet_26.wav,o,0.1739761233329773,"[(18, 'o', 0.1739761233329773), (7, '8', 0.13267718255519867), (19, 'p', 0.10611812770366669), (8, '9', 0.05034859478473663), (35, 'm', 0.04548237845301628)]"
27,966720,970080,artifacts/isolated_snippets/snippet_27.wav,j,0.2054550051689148,"[(26, 'j', 0.2054550051689148), (19, 'p', 0.10802818834781647), (35, 'm', 0.0735488310456276), (30, 'x', 0.05482563003897667), (18, 'o', 0.05328010767698288)]"
28,1007616,1010976,artifacts/isolated_snippets/snippet_28.wav,l,0.08354118466377258,"[(28, 'l', 0.08354118466377258), (31, 'c', 0.07515124976634979), (26, 'j', 0.06340797245502472), (7, '8', 0.06118779629468918), (33, 'b', 0.056745290756225586)]"
29,1048224,1051584,artifacts/isolated_snippets/snippet_29.wav,o,0.10480440407991409,"[(18, 'o', 0.10480440407991409), (7, '8', 0.10352840274572372), (19, 'p', 0.0947812870144844), (35, 'm', 0.08727934211492538), (26, 'j', 0.06021477282047272)]"
30,1093440,1096800,artifacts/isolated_snippets/snippet_30.wav,8,0.13435474038124084,"[(7, '8', 0.13435474038124084), (31, 'c', 0.10176660865545273), (26, 'j', 0.06964795291423798), (35, 'm', 0.05418405681848526), (5, '6', 0.04443228244781494)]"
31,1094880,1098240,artifacts/isolated_snippets/snippet_31.wav,q,0.15970052778720856,"[(10, 'q', 0.15970052778720856), (26, 'j', 0.1383170485496521), (28, 'l', 0.05166563391685486), (20, 'a', 0.0492531843483448), (30, 'x', 0.048090070486068726)]"
32,1096032,1099392,artifacts/isolated_snippets/snippet_32.wav,5,0.22238177061080933,"[(4, '5', 0.22238177061080933), (7, '8', 0.1222650557756424), (18, 'o', 0.09125196933746338), (5, '6', 0.08086517453193665), (6, '7', 0.05958160012960434)]"
